대학교명,학과명,대학교ID,학과ID
부산과학기술대학교,생활문화과,28,99
부산과학기술대학교,소방안전관리과,28,111
부산교육대학교,미술교육과,297,52
부산대학교,교양인문학부,7,4
부산대학교,교양자연과학부,7,82
부산대학교,약학부,7,112
부산디지털대학교,경영학과,101,24
부산디지털대학교,교양사회과학부,101,34
부산디지털대학교,교양인문학부,101,4
부산보건대학교,물리치료과,342,103
부산보건대학교,반려동물과,342,92
부산보건대학교,응급구조과,342,116
부산보건대학교,의료보장구과,342,118
부산여자대학교,바이오동물과,220,90
부산여자대학교,반려동물과,220,92
부산여자대학교,보건행정과,220,108
부산예술대학교,예술치료과,362,114
부산외국어대학교,경영학과,102,24
부산외국어대학교,경제학과,102,26
부산외국어대학교,경찰행정학과,102,28
부산외국어대학교,관광경영학과,102,30
부산외국어대학교,교양사회과학부,102,34
부산외국어대학교,교양인문학부,102,4
부산외국어대학교,국어교육과,102,46
부산외국어대학교,국어국문학과,102,5
부산외국어대학교,국제문화정보학과,102,6
부산외국어대학교,국제지역학과,102,7
부산외국어대학교,국제통상학과,102,38
부산외국어대학교,국제학부,102,39
부산외국어대학교,기타아시아어학과,102,9
부산외국어대학교,기타유럽어학과,102,10
부산외국어대학교,독어독문학과,102,11
부산외국어대학교,러시아어문학과,102,13
부산외국어대학교,러시아학과,102,14
부천대학교,게임콘텐츠과,235,67
부천대학교,경영정보과,235,22
부천대학교,반려동물과,235,92
사이버한국외국어대학교,경영학과,71,24
사이버한국외국어대학교,교양인문학부,71,4
사이버한국외국어대학교,기타아시아어학과,71,9
삼육대학교,간호학과,72,102
삼육대학교,건축학과,72,65
삼육대학교,경영정보학과,72,23
삼육대학교,경영학과,72,24
삼육대학교,교양인문학부,72,4
삼육대학교,국제지역학과,72,7
삼육대학교,동물자원학과,72,86
삼육대학교,물리치료학과,72,104
삼육대학교,보건관리학과,72,107
삼육대학교,생명과학과,72,95
삼육대학교,약학부,72,112
삼육보건대학교,간호과,343,101
삼육보건대학교,의료정보시스템과,343,120
상명대학교,고고학과,1,1
상명대학교,교양인문학부,1,4
상명대학교,교양자연과학부,1,82
상명대학교,국제지역학과,1,7
상명대학교,독어독문학과,1,11
상명대학교,러시아어문학과,1,13
상명대학교,러시아학과,1,14
상명대학교,수학교육과,1,56
상지대학교,광고홍보학과,149,32
상지대학교,교양경상학부,149,33
상지대학교,교양인문학부,149,4
상지대학교,국어교육과,149,46
상지대학교,국어국문학과,149,5
상지대학교,보건관리학과,149,107
서강대학교,경제학과,73,26
서강대학교,교양사회과학부,73,34
서강대학교,국어국문학과,73,5
서강대학교,국제문화정보학과,73,6
서강대학교,국제학부,73,39
서강대학교,독어독문학과,73,11
서경대학교,교양사회과학부,74,34
서경대학교,교양인문학부,74,4
서라벌대학교,간호과,279,101
서라벌대학교,경찰행정과,279,27
서라벌대학교,관광경영과,279,29
서라벌대학교,기계과,279,78
서라벌대학교,방사선과,279,105
서영대학교,경영정보과,236,22
서영대학교,관광경영과,236,29
서영대학교,기계과,236,78
서영대학교,소방안전관리과,236,111
서울과학기술대학교,건축공학과,75,62
서울과학기술대학교,건축학과,75,65
서울과학기술대학교,경영학과,75,24
서울과학기술대학교,광학공학과,75,70
서울과학기술대학교,교양공학부,75,71
서울과학기술대학교,교양인문학부,75,4
서울과학기술대학교,교양자연과학부,75,82
서울과학기술대학교,국어국문학과,75,5
서울과학기술대학교,기계공학과,75,77
서울과학기술대학교,기계설계공학과,75,79
서울과학기술대학교,문예창작학과,75,16
서울기독대학교,경영정보학과,207,23
