db_university,db_major,reason
국립창원대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,국제관계학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,기계공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,독어독문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,생명과학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,생물학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립한국교통대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립한국해양대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립한국해양대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립한국해양대학교,군사학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립한밭대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립한밭대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
